attrib1,attrib2,class
0.02,0.07692307692307693,2
0.3,0.007692307692307693,3
0.22,0.05384615384615385,2
0.1,0.0,1
0.02,0.08076923076923077,3
0.4,0.07692307692307693,6
0.4,0.07692307692307693,7
0.1,0.007692307692307693,1
0.26,0.019230769230769232,4
0.34,0.04423076923076923,4
0.2,0.038461538461538464,3
0.02,0.0038461538461538464,1
0.56,0.11538461538461539,9
0.56,0.046153846153846156,8
0.4,0.06538461538461539,6
0.25,0.03076923076923077,3
0.42,0.046153846153846156,5
0.6,0.07692307692307693,8
0.34,0.046153846153846156,4
0.28,0.03076923076923077,3
0.24,0.1076923076923077,7
0.34,0.007692307692307693,4
0.16,0.038461538461538464,3
0.66,0.1,10
0.36,0.05,4
0.5,0.046153846153846156,6
0.46,0.09615384615384616,7
0.5,0.07692307692307693,8
0.56,0.08076923076923077,8
0.0,0.0,6
0.48,0.007692307692307693,5
0.36,0.06153846153846154,5
0.16,0.057692307692307696,4
0.56,0.08076923076923077,7
0.32,0.07307692307692308,4
0.48,0.038461538461538464,6
0.27,0.03076923076923077,4
0.56,0.11153846153846154,8
0.36,0.0,5
0.22,0.038461538461538464,4
0.42,0.0,5
0.3,0.057692307692307696,4
0.22,0.046153846153846156,3
0.6,0.1,9
0.0,0.0,1
0.44,0.06153846153846154,6
0.48,0.07692307692307693,6
0.42,0.015384615384615385,5
0.0,0.08076923076923077,4
0.34,0.0,4
1.0,0.19230769230769232,12
0.24,0.057692307692307696,3
0.0,0.038461538461538464,4
0.34,0.046153846153846156,4
0.24,0.06923076923076923,4
0.1,0.057692307692307696,3
0.52,0.09230769230769231,7
0.44,0.07692307692307693,6
